"DC_NOME","SG_ESTADO","CD_SITUACAO","VL_LATITUDE","VL_LONGITUDE","VL_ALTITUDE","DT_INICIO_OPERACAO","CD_ESTACAO"
"DRACENA","SP","Pane","-21.45777777","-51.55222222","383","11/2/2016","A762"
"DUQUE DE CAXIAS - XEREM","RJ","Operante","-22.58972221","-43.28222221","22","10/20/2002","A603"
"ECOPORANGA","ES","Operante","-18.29138888","-40.73638888","224","3/16/2017","A631"
"EDEIA","GO","Operante","-17.33694444","-49.91472222","608","8/25/2017","A029"
"EIRUNEPE","AM","Pane","-6.65027777","-69.8686111","121.54","8/30/2012","A109"
"ENCRUZILHADA DO SUL","RS","Operante","-30.54305555","-52.52472221","427.75","3/14/2018","A893"
"EPITACIOLANDIA","AC","Operante","-11.02388888","-68.73527777","224.5","9/24/2009","A140"
"ERECHIM","RS","Operante","-27.65777777","-52.30583333","777.08","11/24/2006","A828"
"ESPINOSA","MG","Operante","-14.91222222","-42.80861111","565.36","11/13/2007","A543"
"ESTREITO","MA","Operante","-6.65333333","-47.41833332","182.96","2/26/2008","A224"
"EUCLIDES DA CUNHA","BA","Operante","-10.53722221","-38.99666666","431.96","3/30/2008","A442"
"FAROL de SANTANA","MA","Pane","-2.27083332","-43.62416666","9.87","11/27/2008","A217"
"FEIJO","AC","Operante","-8.14277777","-70.3436111","157.17","9/23/2009","A138"
"FEIRA DE SANTANA","BA","Operante","-12.1961111","-38.96749999","229.64","5/25/2007","A413"
"FLORESTA","PE","Operante","-8.59888888","-38.58416666","327.42","9/14/2008","A351"
"FLORESTAL","MG","Operante","-19.88527777","-44.41694443","753.5","6/26/2008","A535"
"FLORIANO","PI","Pane","-6.76138888","-43.00333333","126.39","11/17/2004","A311"
"FLORIANOPOLIS","SC","Operante","-27.6025","-48.61999999","4.87","1/21/2003","A806"
"FORMIGA","MG","Operante","-20.455","-45.45388888","878.14","8/16/2006","A524"
"FORMOSA DO RIO PRETO","BA","Pane","-11.05222222","-45.20083333","488","6/1/2016","A452"
"FORMOSO DO ARAGUAIA","TO","Operante","-11.88749999","-49.60833333","215.2","4/26/2008","A039"
"FORTALEZA","CE","Pane","-3.81583333","-38.53777777","29.55","2/17/2003","A305"
"FOZ DO IGUACU","PR","Operante","-25.60194444","-54.48305554","235.09","2/14/2008","A846"
"FRANCA","SP","Pane","-20.58444444","-47.38249999","1002.74","12/11/2002","A708"
"FREDERICO WESTPHALEN","RS","Operante","-27.39555555","-53.42944443","489.42","12/13/2007","A854"
"GAMA (PONTE ALTA)","DF","Operante","-15.93527777","-48.13749999","990","9/30/2014","A046"
"GARANHUNS","PE","Operante","-8.91083333","-36.49333333","827.78","7/7/2007","A322"
"GAUCHA DO NORTE","MT","Pane","-13.18472221","-53.2575","375.87","6/3/2008","A930"
"GENERAL CARNEIRO","PR","Operante","-26.3986111","-51.35361111","1009.01","4/29/2008","A875"
"GILBUES","PI","Operante","-9.87527777","-45.34583333","425.1","5/15/2009","A364"
"GOIANESIA","GO","Operante","-15.22027777","-48.98999999","667.01","6/1/2007","A022"
"GOIANIA","GO","Operante","-16.64277777","-49.22027777","727.3","5/28/2001","A002"
"GOIAS","GO","Operante","-15.93972221","-50.14138888","512.86","7/17/2007","A014"
"GOIOERE","PR","Operante","-24.18388888","-53.04888888","481","10/18/2006","A825"
"GOVERNADOR VALADARES","MG","Operante","-18.830354","-41.977007","198.24","5/26/2007","A532"
"GRAJAU","MA","Operante","-5.81611111","-46.16222222","232.29","9/9/2008","A207"
"GUANAMBI","BA","Operante","-14.20805555","-42.74972221","552.23","4/23/2008","A426"
"GUANHAES","MG","Operante","-18.78694444","-42.94305555","852.68","6/1/2007","A533"
"GUARAMIRANGA","CE","Pane","-4.22916666","-38.95888888","865.53","5/25/2007","A314"
"GUARANTA DO NORTE","MT","Operante","-9.9525","-54.89777777","283.58","12/19/2002","A906"
"GUARDA-MOR","MG","Operante","-17.56138888","-47.19916666","997.01","7/10/2007","A546"
"GUIRATINGA","MT","Pane","-16.34166666","-53.76611111","525.43","1/23/2008","A932"
"GURUPI","TO","Operante","-11.74499999","-49.05166666","274","12/19/2006","A019"
"HUMAITA","AM","Operante","-7.5525","-63.07138888","53.56","4/24/2008","A112"
"IBIMIRIM","PE","Pane","-8.50944444","-37.71166666","434.23","10/13/2008","A349"
"IBIRITE (ROLA MOCA)","MG","Operante","-20.03138888","-44.01111111","1198.82","6/5/2008","A555"
"IBIRUBA","RS","Operante","-28.65333333","-53.11194444","455.27","12/12/2012","A883"
"IBITINGA","SP","Pane","-21.85555555","-48.79972221","496.75","11/8/2007","A737"
"IBOTIRAMA","BA","Operante","-12.19305555","-43.21333333","425.12","4/27/2008","A439"
"ICARAIMA","PR","Pane","-23.39027777","-53.63583333","381.29","11/15/2006","A824"
"IGUAPE","SP","Operante","-24.67166666","-47.54583333","2.7","7/19/2006","A712"
"IGUATU","CE","Operante","-6.39638888","-39.26888888","221.56","5/29/2007","A319"
"ILHEUS","BA","Operante","-14.65888888","-39.18138888","80.21","1/24/2003","A410"
"IMPERATRIZ","MA","Pane","-5.55583333","-47.45972222","117.96","2/29/2008","A225"
"INACIO MARTINS","PR","Operante","-25.567879","-51.077946","1208.85","10/15/2006","A823"
"INDAIAL","SC","Operante","-26.91361111","-49.26805554","72.24","7/1/2006","A817"
"IPANGUACU","RN","Operante","-5.53499999","-36.87222221","19","11/7/2017","A372"
"IPERO","SP","Operante","-23.4261111","-47.58555555","609.33","8/21/2006","A713"
"IPIAU","BA","Operante","-14.17138888","-39.69249999","132.11","6/29/2009","A445"
"IPORA","GO","Pane","-16.42305554","-51.14888888","610.41","6/23/2013","A028"
"IRECE","BA","Operante","-11.32888888","-41.86444444","768.42","3/30/2008","A424"
"ITABAIANA","SE","Pane","-10.67166666","-37.47138888","213","4/23/2017","A451"
"ITABAIANINHA","SE","Operante","-11.27249999","-37.79499999","204.8","5/22/2007","A417"
"ITABERABA","BA","Operante","-12.52416666","-40.29972221","250.11","1/28/2003","A408"
